wine,Food/Drink/Wine
dessert,Food/Drink/Dessert
cake,Food/Drink/Cake
pizza,Food/Drink/Pizza
sandwich,Food/Drink/Sandwich
salad,Food/Drink/Salad
soup,Food/Drink/Soup
shrimp,Food/Drink/Shrimp
chicken,Food/Drink/Chicken
vegetables,Food/Drink/Vegetables
bottle,Food/Drink/Bottle
glass,Food/Drink/Glass
bowl,Food/Drink/Bowl
plate,Food/Drink/Plate
car,Transportation/Car
truck,Transportation/Truck
bus,Transportation/Bus
train,Transportation/Train
airplane,Transportation/Airplane
airport,Transportation/Airport
parked car,Transportation/Parked car
car seat,Transportation/Car seat
plane flying,Transportation/Plane flying
driving,Transportation/Driving
standing,Activities/Standing
sitting,Activities/Sitting
walking,Activities/Walking
running,Activities/Running
sleeping,Activities/Sleeping
reading,Activities/Reading
writing,Activities/Writing
working,Activities/Working
playing,Activities/Playing
eating,Activities/Eating
drinking,Activities/Drinking
swimming,Activities/Swimming
dancing,Activities/Dancing
riding,Activities/Riding
watching,Activities/Watching
cutting,Activities/Cutting
drawing,Activities/Drawing
close-up,Composition/Quality/Close-up
wide shot,Composition/Quality/Wide shot
blurry,Composition/Quality/Blurry
low light,Composition/Quality/Low light
bright,Composition/Quality/Bright
high contrast,Composition/Quality/High contrast
black and white,Composition/Quality/Black and white
old photo,Composition/Quality/Old photo
damaged image,Composition/Quality/Damaged image
corrupted image,Composition/Quality/Corrupted image
low quality,Composition/Quality/Low quality
duplicate,Composition/Quality/Duplicate
dark image,Composition/Quality/Dark image
overexposed image,Composition/Quality/Overexposed image
table,Furniture/Home/Table
chair,Furniture/Home/Chair
couch,Furniture/Home/Couch
bed,Furniture/Home/Bed
window,Furniture/Home/Window
floor,Furniture/Home/Floor
wooden floor,Furniture/Home/Wooden floor
shelf,Furniture/Home/Shelf
refrigerator,Furniture/Home/Refrigerator
stove,Furniture/Home/Stove
counter,Furniture/Home/Counter
blanket,Furniture/Home/Blanket
high chair,Furniture/Home/High chair
hospital bed,Health/Medical/Hospital bed
wheelchair,Health/Medical/Wheelchair
medical room,Health/Medical/Medical room
doctor office,Health/Medical/Doctor office
baseball,Sports/Hobbies/Baseball
skateboard,Sports/Hobbies/Skateboard
guitar,Sports/Hobbies/Guitar
microphone,Sports/Hobbies/Microphone
toy,Sports/Hobbies/Toy
stuffed animal,Sports/Hobbies/Stuffed animal
toy car,Sports/Hobbies/Toy car
sports,Sports
kids sports,Sports/Kids sports
children sports,Sports/Kids sports
martial arts,Sports/Martial arts
taekwondo,Sports/Martial arts/Taekwondo
karate,Sports/Martial arts/Karate
sparring,Sports/Martial arts/Sparring
martial arts class,Sports/Martial arts/Class
taekwondo class,Sports/Martial arts/Taekwondo class
training gym,Places/Indoor/Training gym
dojo,Places/Indoor/Dojo|Sports/Martial arts/Dojo
sports uniform,Sports/Clothing/Sports uniform
protective gear,Sports/Equipment/Protective gear
helmet,Sports/Equipment/Helmet
chest protector,Sports/Equipment/Chest protector
instructor,People/Instructor
coach,People/Coach
sport,Sports
training,Activities/Training
sports class,Sports/Class
athletic class,Sports/Class
indoor gym,Places/Indoor/Indoor gym
gymnasium,Places/Indoor/Gymnasium
lesson,Activities/Lesson
practice,Activities/Practice
competition,Activities/Competition
tree,Prospective/Nouns/Tree
gmt,Prospective/Nouns/Gmt
mar,Prospective/Nouns/Mar
multcloud,Prospective/Nouns/Multcloud
body,Prospective/Nouns/Body
shirt,Prospective/Nouns/Shirt
thu,Prospective/Nouns/Thu
tram,Prospective/Nouns/Tram
house,Prospective/Nouns/House
flower,Prospective/Nouns/Flower
dog,Prospective/Nouns/Dog
field,Prospective/Nouns/Field
pool,Prospective/Nouns/Pool
mountain,Prospective/Nouns/Mountain
self,Prospective/Nouns/Self
branch,Prospective/Nouns/Branch
box,Prospective/Nouns/Box
rock,Prospective/Nouns/Rock
parking,Prospective/Nouns/Parking
bench,Prospective/Nouns/Bench
piece,Prospective/Nouns/Piece
col,Prospective/Nouns/Col
plane,Prospective/Nouns/Plane
display,Prospective/Nouns/Display
thu mar,Prospective/Nouns/Thu mar
statue,Prospective/Nouns/Statue
living,Prospective/Nouns/Living
hat,Prospective/Nouns/Hat
suit,Prospective/Nouns/Suit
stage,Prospective/Nouns/Stage
arm,Prospective/Nouns/Arm
ground,Prospective/Nouns/Ground
hair,Prospective/Nouns/Hair
hospital,Prospective/Nouns/Hospital
hill,Prospective/Nouns/Hill
screen,Prospective/Nouns/Screen
fence,Prospective/Nouns/Fence
plant,Prospective/Nouns/Plant
door,Prospective/Nouns/Door
dress,Prospective/Nouns/Dress
river,Prospective/Nouns/River
painting,Prospective/Nouns/Painting
cell,Prospective/Nouns/Cell
night,Prospective/Nouns/Night
snow,Prospective/Nouns/Snow
cruise,Prospective/Nouns/Cruise
close,Prospective/Nouns/Close
bag,Prospective/Nouns/Bag
seat,Prospective/Nouns/Seat
balcony,Prospective/Nouns/Balcony
